stream_id,stream_name,run_id,step,percent,processed,f0_exact,n_t_estimate,relative_error
0,small_50pct,9,19,100.0,10000,5000,4978.18,-0.004364
1,small_80pct,0,0,5.0,500,494,498.51,0.009125
1,small_80pct,0,1,10.0,1000,971,980.78,0.010071
1,small_80pct,0,2,15.0,1500,1432,1448.16,0.011282
1,small_80pct,0,3,20.0,2000,1892,1911.27,0.010184
1,small_80pct,0,4,25.0,2500,2343,2363.58,0.008782
1,small_80pct,0,5,30.0,3000,2781,2795.48,0.005207
1,small_80pct,0,6,35.0,3500,3216,3229.34,0.004147
1,small_80pct,0,7,40.0,4000,3643,3649.99,0.001917
1,small_80pct,0,8,45.0,4500,4066,4085.57,0.004812
1,small_80pct,0,9,50.0,5000,4464,4471.18,0.001609
1,small_80pct,0,10,55.0,5500,4842,4855.33,0.002753
1,small_80pct,0,11,60.0,6000,5228,5244.57,0.003169
1,small_80pct,0,12,65.0,6500,5608,5615.08,0.001262
1,small_80pct,0,13,70.0,7000,5983,5971.11,-0.001987
1,small_80pct,0,14,75.0,7500,6322,6321.81,-0.000030
1,small_80pct,0,15,80.0,8000,6663,6680.18,0.002579
1,small_80pct,0,16,85.0,8500,7024,7038.88,0.002119
1,small_80pct,0,17,90.0,9000,7358,7372.64,0.001990
1,small_80pct,0,18,95.0,9500,7682,7722.95,0.005331
1,small_80pct,0,19,100.0,10000,8000,8053.11,0.006638
1,small_80pct,1,0,5.0,500,497,496.45,-0.001115
1,small_80pct,1,1,10.0,1000,983,972.29,-0.010898
1,small_80pct,1,2,15.0,1500,1459,1444.88,-0.009679
1,small_80pct,1,3,20.0,2000,1913,1920.26,0.003795
1,small_80pct,1,4,25.0,2500,2367,2367.04,0.000017
1,small_80pct,1,5,30.0,3000,2810,2806.16,-0.001367
1,small_80pct,1,6,35.0,3500,3246,3243.96,-0.000629
1,small_80pct,1,7,40.0,4000,3652,3643.74,-0.002262
1,small_80pct,1,8,45.0,4500,4077,4058.64,-0.004503
1,small_80pct,1,9,50.0,5000,4473,4452.80,-0.004516
1,small_80pct,1,10,55.0,5500,4879,4859.36,-0.004024
1,small_80pct,1,11,60.0,6000,5253,5229.43,-0.004488
1,small_80pct,1,12,65.0,6500,5622,5616.49,-0.000980
1,small_80pct,1,13,70.0,7000,5976,5989.84,0.002316
1,small_80pct,1,14,75.0,7500,6339,6358.63,0.003096
1,small_80pct,1,15,80.0,8000,6703,6705.76,0.000412
1,small_80pct,1,16,85.0,8500,7036,7034.27,-0.000246
1,small_80pct,1,17,90.0,9000,7362,7342.87,-0.002598
1,small_80pct,1,18,95.0,9500,7691,7679.75,-0.001462
1,small_80pct,1,19,100.0,10000,8000,7992.73,-0.000909
1,small_80pct,2,0,5.0,500,490,488.20,-0.003670
1,small_80pct,2,1,10.0,1000,970,969.10,-0.000924
1,small_80pct,2,2,15.0,1500,1435,1432.87,-0.001485
1,small_80pct,2,3,20.0,2000,1892,1892.18,0.000093
1,small_80pct,2,4,25.0,2500,2346,2343.95,-0.000874
1,small_80pct,2,5,30.0,3000,2792,2774.15,-0.006394
1,small_80pct,2,6,35.0,3500,3230,3212.30,-0.005481
1,small_80pct,2,7,40.0,4000,3650,3635.00,-0.004110
1,small_80pct,2,8,45.0,4500,4074,4057.36,-0.004084
1,small_80pct,2,9,50.0,5000,4472,4465.93,-0.001358
1,small_80pct,2,10,55.0,5500,4875,4866.09,-0.001827
1,small_80pct,2,11,60.0,6000,5257,5258.35,0.000256
1,small_80pct,2,12,65.0,6500,5616,5610.85,-0.000916
1,small_80pct,2,13,70.0,7000,5990,5988.40,-0.000267
1,small_80pct,2,14,75.0,7500,6351,6360.10,0.001433
1,small_80pct,2,15,80.0,8000,6689,6708.77,0.002956
1,small_80pct,2,16,85.0,8500,7036,7074.26,0.005438
1,small_80pct,2,17,90.0,9000,7355,7400.90,0.006240
1,small_80pct,2,18,95.0,9500,7684,7748.61,0.008408
1,small_80pct,2,19,100.0,10000,8000,8049.84,0.006230
1,small_80pct,3,0,5.0,500,495,497.48,0.005003
1,small_80pct,3,1,10.0,1000,984,986.09,0.002122
1,small_80pct,3,2,15.0,1500,1457,1457.99,0.000680
1,small_80pct,3,3,20.0,2000,1918,1915.76,-0.001166
1,small_80pct,3,4,25.0,2500,2379,2367.04,-0.005027
1,small_80pct,3,5,30.0,3000,2813,2809.72,-0.001166
1,small_80pct,3,6,35.0,3500,3241,3236.65,-0.001343
1,small_80pct,3,7,40.0,4000,3653,3648.74,-0.001167
1,small_80pct,3,8,45.0,4500,4067,4031.76,-0.008665
1,small_80pct,3,9,50.0,5000,4472,4438.37,-0.007520
1,small_80pct,3,10,55.0,5500,4859,4829.80,-0.006010
1,small_80pct,3,11,60.0,6000,5235,5189.57,-0.008678
1,small_80pct,3,12,65.0,6500,5602,5557.42,-0.007958
1,small_80pct,3,13,70.0,7000,5951,5905.02,-0.007727
1,small_80pct,3,14,75.0,7500,6300,6242.58,-0.009115
1,small_80pct,3,15,80.0,8000,6653,6597.70,-0.008312
1,small_80pct,3,16,85.0,8500,6978,6904.21,-0.010575
1,small_80pct,3,17,90.0,9000,7316,7257.00,-0.008065
1,small_80pct,3,18,95.0,9500,7666,7608.00,-0.007566
1,small_80pct,3,19,100.0,10000,8000,7937.44,-0.007820
1,small_80pct,4,0,5.0,500,494,491.29,-0.005480
1,small_80pct,4,1,10.0,1000,975,965.92,-0.009311
1,small_80pct,4,2,15.0,1500,1447,1442.69,-0.002976
1,small_80pct,4,3,20.0,2000,1920,1913.52,-0.003377
1,small_80pct,4,4,25.0,2500,2374,2347.41,-0.011200
1,small_80pct,4,5,30.0,3000,2819,2784.81,-0.012128
1,small_80pct,4,6,35.0,3500,3245,3211.08,-0.010453
1,small_80pct,4,7,40.0,4000,3656,3639.99,-0.004379
1,small_80pct,4,8,45.0,4500,4084,4076.59,-0.001815
1,small_80pct,4,9,50.0,5000,4486,4492.22,0.001386
1,small_80pct,4,10,55.0,5500,4866,4883.60,0.003616
1,small_80pct,4,11,60.0,6000,5239,5254.21,0.002904
1,small_80pct,4,12,65.0,6500,5617,5620.72,0.000662
1,small_80pct,4,13,70.0,7000,5987,5984.08,-0.000488
1,small_80pct,4,14,75.0,7500,6349,6349.78,0.000123
1,small_80pct,4,15,80.0,8000,6709,6720.82,0.001762
1,small_80pct,4,16,85.0,8500,7043,7052.72,0.001380
1,small_80pct,4,17,90.0,9000,7372,7386.76,0.002003
1,small_80pct,4,18,95.0,9500,7677,7689.34,0.001608
1,small_80pct,4,19,100.0,10000,8000,8025.34,0.003167
1,small_80pct,5,0,5.0,500,495,498.51,0.007086
1,small_80pct,5,1,10.0,1000,984,995.65,0.011838
1,small_80pct,5,2,15.0,1500,1450,1462.36,0.008526
1,small_80pct,5,3,20.0,2000,1909,1922.51,0.007076
1,small_80pct,5,4,25.0,2500,2363,2389.01,0.011007
1,small_80pct,5,5,30.0,3000,2809,2839.42,0.010831
1,small_80pct,5,6,35.0,3500,3246,3283.01,0.011402
1,small_80pct,5,7,40.0,4000,3673,3696.28,0.006339
1,small_80pct,5,8,45.0,4500,4084,4095.84,0.002898
1,small_80pct,5,9,50.0,5000,4478,4481.70,0.000825
1,small_80pct,5,10,55.0,5500,4874,4875.52,0.000311
1,small_80pct,5,11,60.0,6000,5254,5239.06,-0.002844
1,small_80pct,5,12,65.0,6500,5624,5606.63,-0.003089
1,small_80pct,5,13,70.0,7000,5985,5961.04,-0.004004
1,small_80pct,5,14,75.0,7500,6335,6321.81,-0.002082
1,small_80pct,5,15,80.0,8000,6690,6680.18,-0.001468
1,small_80pct,5,16,85.0,8500,7026,7011.24,-0.002100
1,small_80pct,5,17,90.0,9000,7380,7385.19,0.000704
1,small_80pct,5,18,95.0,9500,7703,7698.94,-0.000527
1,small_80pct,5,19,100.0,10000,8000,8015.55,0.001944
1,small_80pct,6,0,5.0,500,496,492.32,-0.007413
1,small_80pct,6,1,10.0,1000,971,962.74,-0.008507
1,small_80pct,6,2,15.0,1500,1437,1431.78,-0.003634
1,small_80pct,6,3,20.0,2000,1891,1885.44,-0.002939
1,small_80pct,6,4,25.0,2500,2340,2341.64,0.000701
1,small_80pct,6,5,30.0,3000,2801,2812.09,0.003961
1,small_80pct,6,6,35.0,3500,3247,3254.93,0.002443
1,small_80pct,6,7,40.0,4000,3672,3682.51,0.002861
1,small_80pct,6,8,45.0,4500,4069,4063.77,-0.001286
1,small_80pct,6,9,50.0,5000,4487,4484.33,-0.000596
1,small_80pct,6,10,55.0,5500,4878,4875.52,-0.000509
1,small_80pct,6,11,60.0,6000,5270,5283.18,0.002500
1,small_80pct,6,12,65.0,6500,5639,5648.93,0.001760
1,small_80pct,6,13,70.0,7000,6001,6020.14,0.003189
